GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,VALADD,CSTMTOT,RCPTOT,CEXTOT
3100000US23020,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",31-33,Manufacturing,2007,2,98,18,3858,166432,2374,3815,76341,397190,300646,656730,14513
3100000US23060,23060,"Fort Wayne, IN Metro Area",31-33,Manufacturing,2007,0,694,280,38250,1837402,26958,55350,1106310,12456796,10147961,22548538,471103
3100000US23420,23420,"Fresno, CA Metro Area",31-33,Manufacturing,2007,1,646,220,26898,1017979,19536,40781,595359,3288244,4536551,7827264,172871
3100000US23460,23460,"Gadsden, AL Metro Area",31-33,Manufacturing,2007,1,118,38,5430,203689,4446,9406,157583,438747,818402,1252962,27768
3100000US23540,23540,"Gainesville, FL Metro Area",31-33,Manufacturing,2007,1,154,42,4028,178556,2758,5651,93942,602285,469105,1068893,80299
3100000US23580,23580,"Gainesville, GA Metro Area",31-33,Manufacturing,2007,1,265,95,17296,602544,14296,28895,428517,2620187,3477973,6068981,161435
3100000US24020,24020,"Glens Falls, NY Metro Area",31-33,Manufacturing,2007,1,176,50,7263,302893,4971,9812,169196,1149758,822490,1962656,50302
3100000US24140,24140,"Goldsboro, NC Metro Area",31-33,Manufacturing,2007,0,84,30,6147,221670,4725,9652,150884,845580,639453,1474760,65545
3100000US24220,24220,"Grand Forks, ND-MN Metro Area",31-33,Manufacturing,2007,0,94,31,4495,152917,3793,7292,117259,646651,924559,1519370,49241
3100000US24300,24300,"Grand Junction, CO Metro Area",31-33,Manufacturing,2007,2,177,29,2691,104860,1886,3829,61208,320306,220628,539590,17867
3100000US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",31-33,Manufacturing,2007,2,1344,554,69520,3337477,49003,99446,1898026,9446042,8780864,18393869,499844
3100000US24500,24500,"Great Falls, MT Metro Area",31-33,Manufacturing,2007,1,81,15,1094,44785,789,1537,27739,232880,438062,670881,15248
3100000US24540,24540,"Greeley, CO Metro Area",31-33,Manufacturing,2007,0,284,77,10186,451760,7567,15690,293752,1211175,2986254,4193672,99387
3100000US24580,24580,"Green Bay, WI Metro Area",31-33,Manufacturing,2007,0,552,215,29482,1245015,22639,46767,829206,4051289,6073621,10130503,269131
3100000US24660,24660,"Greensboro-High Point, NC Metro Area",31-33,Manufacturing,2007,0,1194,489,63505,2461313,47820,94761,1522428,13558295,17942324,31456487,572803
3100000US24780,24780,"Greenville, NC Metro Area",31-33,Manufacturing,2007,2,107,44,7017,268456,5067,9800,154686,886755,1188371,2053483,143082
3100000US24860,24860,"Greenville-Mauldin-Easley, SC Metro Area",31-33,Manufacturing,2007,1,825,280,41280,1672036,30134,60855,1048030,6213494,7680898,13843635,289291
3100000US25060,25060,"Gulfport-Biloxi, MS Metro Area",31-33,Manufacturing,2007,0,165,47,4713,219006,3628,7345,139575,965514,D,D,96135
3100000US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",31-33,Manufacturing,2007,0,201,76,10289,464809,8070,16521,342187,1825257,1685553,3522337,213386
3100000US25260,25260,"Hanford-Corcoran, CA Metro Area",31-33,Manufacturing,2007,1,73,31,4291,148715,3621,7324,111045,702960,1407380,2107702,75128
3100000US25420,25420,"Harrisburg-Carlisle, PA Metro Area",31-33,Manufacturing,2007,0,450,147,20726,876086,15671,31356,613828,3730135,3994672,7695429,160803
3100000US25500,25500,"Harrisonburg, VA Metro Area",31-33,Manufacturing,2007,0,134,46,10112,399847,8335,17207,283593,3572227,2640298,6183820,109912
3100000US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",31-33,Manufacturing,2007,3,1813,620,77946,4299504,47756,99240,2207609,10865725,8775125,19373956,543340
3100000US25620,25620,"Hattiesburg, MS Metro Area",31-33,Manufacturing,2007,0,110,37,5737,198118,4448,9182,145241,521988,760611,1282563,59525
3100000US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",31-33,Manufacturing,2007,1,845,358,50686,1618189,39349,76936,1120112,4893825,5708553,10725477,219908
3100000US25980,25980,"Hinesville-Fort Stewart, GA Metro Area",31-33,Manufacturing,2007,0,19,8,1183,58263,865,1860,40427,212706,505425,704016,27442
3100000US26100,26100,"Holland-Grand Haven, MI Metro Area",31-33,Manufacturing,2007,0,584,206,31912,1395497,23167,47902,823127,4483367,4737630,9210895,284088
3100000US26180,26180,"Honolulu, HI Metro Area",31-33,Manufacturing,2007,0,684,138,10996,398932,7322,13464,224670,2694778,5545636,8201881,51694
3100000US26300,26300,"Hot Springs, AR Metro Area",31-33,Manufacturing,2007,2,119,23,2786,99889,2063,4060,63224,335313,332522,661675,24870
3100000US26380,26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",31-33,Manufacturing,2007,2,185,56,8372,360730,6931,15098,285166,807159,919089,1729896,61755
3100000US26420,26420,"Houston-Sugar Land-Baytown, TX Metro Area",31-33,Manufacturing,2007,0,5484,1820,222142,12175299,145314,309853,6546056,81535133,159163887,238606522,6770439
3100000US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",31-33,Manufacturing,2007,0,213,76,10799,562327,7817,16665,382986,4674117,10514723,15159147,172855
3100000US26620,26620,"Huntsville, AL Metro Area",31-33,Manufacturing,2007,0,391,134,27771,1303577,19503,41420,744325,3882521,5778689,9597999,256192
3100000US26820,26820,"Idaho Falls, ID Metro Area",31-33,Manufacturing,2007,1,177,50,3649,119114,2889,5324,82238,416538,398915,796302,D
3100000US26900,26900,"Indianapolis-Carmel, IN Metro Area",31-33,Manufacturing,2007,0,1803,612,88795,4407408,59116,119187,2528688,21915815,14060971,35647647,1472406
3100000US26980,26980,"Iowa City, IA Metro Area",31-33,Manufacturing,2007,0,122,33,6712,263787,5106,10029,181059,2131932,6824467,8945359,124281
3100000US27060,27060,"Ithaca, NY Metro Area",31-33,Manufacturing,2007,0,92,21,3152,137327,2282,4323,82593,425106,321451,742802,29583
3100000US27100,27100,"Jackson, MI Metro Area",31-33,Manufacturing,2007,1,284,96,9250,403608,6520,13710,250249,1281663,1513570,2782988,64476
3100000US27140,27140,"Jackson, MS Metro Area",31-33,Manufacturing,2007,0,403,138,19953,813442,15613,30042,561797,3697071,6800328,10509109,198667
3100000US27180,27180,"Jackson, TN Metro Area",31-33,Manufacturing,2007,1,137,60,10111,452079,7962,16225,313307,2173809,2392500,4567874,96326
3100000US27260,27260,"Jacksonville, FL Metro Area",31-33,Manufacturing,2007,1,869,251,31029,1460013,21487,43373,795060,6909665,6153902,13029442,389298
3100000US27340,27340,"Jacksonville, NC Metro Area",31-33,Manufacturing,2007,1,43,6,1016,31750,867,1637,22790,84695,171270,253035,8401
3100000US27500,27500,"Janesville, WI Metro Area",31-33,Manufacturing,2007,0,236,78,13527,720336,9921,19418,484740,5867901,6498469,12381604,166642
3100000US27620,27620,"Jefferson City, MO Metro Area",31-33,Manufacturing,2007,0,160,37,5992,239210,4615,9104,161977,1183697,1182985,2357570,43658
3100000US27740,27740,"Johnson City, TN Metro Area",31-33,Manufacturing,2007,2,212,80,10146,367393,7533,15130,219146,1127929,1092451,2222890,60883
3100000US27780,27780,"Johnstown, PA Metro Area",31-33,Manufacturing,2007,1,146,51,5409,199614,4125,7739,125926,497271,917428,1439815,39910
3100000US27860,27860,"Jonesboro, AR Metro Area",31-33,Manufacturing,2007,1,139,45,7289,258998,5759,10653,167500,892886,1098083,2002348,80112
3100000US27900,27900,"Joplin, MO Metro Area",31-33,Manufacturing,2007,1,269,79,13785,490667,10970,22739,340275,1681425,2314398,3983213,84393
3100000US28020,28020,"Kalamazoo-Portage, MI Metro Area",31-33,Manufacturing,2007,0,434,152,21099,1064980,13560,27709,512090,5281815,3041978,8458773,169560
3100000US28100,28100,"Kankakee-Bradley, IL Metro Area",31-33,Manufacturing,2007,1,115,48,5633,280794,4091,8586,176466,1259650,2155041,3418939,67622
3100000US28140,28140,"Kansas City, MO-KS Metro Area",31-33,Manufacturing,2007,0,2033,668,82421,4091706,56303,114646,2466966,16498759,22559936,38875992,925921
3100000US28420,28420,"Kennewick-Richland-Pasco, WA Metro Area",31-33,Manufacturing,2007,0,190,50,5975,241695,4622,8828,173401,929411,1147341,2049739,45551
3100000US28660,28660,"Killeen-Temple-Fort Hood, TX Metro Area",31-33,Manufacturing,2007,0,179,57,7848,277958,5967,12099,185363,1167583,985797,2146613,57503
3100000US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",31-33,Manufacturing,2007,0,320,115,27089,1150533,18165,35035,685180,4356549,4763946,9083139,399176
3100000US28740,28740,"Kingston, NY Metro Area",31-33,Manufacturing,2007,1,202,51,h,165330,D,6033,96674,D,D,D,18886
3100000US28940,28940,"Knoxville, TN Metro Area",31-33,Manufacturing,2007,1,771,253,35786,1686211,23028,45909,876794,5296472,7958621,13322300,432567
3100000US29020,29020,"Kokomo, IN Metro Area",31-33,Manufacturing,2007,0,100,35,13074,914903,9037,18501,601929,860009,2436297,3285328,99810
3100000US29100,29100,"La Crosse, WI-MN Metro Area",31-33,Manufacturing,2007,2,189,66,7756,273950,6094,11796,190445,736110,1204260,1930627,58994
3100000US29140,29140,"Lafayette, IN Metro Area",31-33,Manufacturing,2007,0,172,55,16830,780320,13068,24406,562556,7007416,5961181,13018681,285335
3100000US29180,29180,"Lafayette, LA Metro Area",31-33,Manufacturing,2007,1,344,110,10151,403083,6992,14769,258604,1178852,1181132,2361569,94205
3100000US29340,29340,"Lake Charles, LA Metro Area",31-33,Manufacturing,2007,0,134,56,8358,592172,5737,12875,377028,5864818,26162270,31622349,471897
3100000US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",31-33,Manufacturing,2007,0,164,40,3814,139640,3002,6009,101070,543976,815142,1349965,27973
3100000US29460,29460,"Lakeland, FL Metro Area",31-33,Manufacturing,2007,1,438,145,16160,697419,11502,24318,425544,2780092,4363967,7178034,188949
3100000US29540,29540,"Lancaster, PA Metro Area",31-33,Manufacturing,2007,0,920,309,40077,1735925,29678,59115,1138305,7004514,6310075,13269853,355342
3100000US29620,29620,"Lansing-East Lansing, MI Metro Area",31-33,Manufacturing,2007,0,385,139,20365,1187185,15414,33218,862465,D,D,14472811,249116
3100000US29700,29700,"Laredo, TX Metro Area",31-33,Manufacturing,2007,7,89,15,914,30742,521,996,16893,101336,136967,242392,D
3100000US29740,29740,"Las Cruces, NM Metro Area",31-33,Manufacturing,2007,2,141,26,2349,84201,1785,3529,46979,283383,648761,931885,21424
3100000US29820,29820,"Las Vegas-Paradise, NV Metro Area",31-33,Manufacturing,2007,1,1096,271,26478,1086288,18967,36402,632529,D,D,7180673,D
3100000US29940,29940,"Lawrence, KS Metro Area",31-33,Manufacturing,2007,0,88,29,3848,142990,2356,4650,82450,384060,598094,976469,37688
3100000US30020,30020,"Lawton, OK Metro Area",31-33,Manufacturing,2007,0,48,13,3549,171031,3084,6397,142678,489217,744751,1232438,27514
3100000US30140,30140,"Lebanon, PA Metro Area",31-33,Manufacturing,2007,1,213,81,9655,363340,7441,15309,250139,1199637,1205849,2393561,80564
3100000US30300,30300,"Lewiston, ID-WA Metro Area",31-33,Manufacturing,2007,0,62,14,3312,166313,2760,5962,122060,305749,661772,964589,D
3100000US30340,30340,"Lewiston-Auburn, ME Metro Area",31-33,Manufacturing,2007,1,158,54,6945,300224,4899,10016,187888,1327142,861777,2186156,101984
3100000US30460,30460,"Lexington-Fayette, KY Metro Area",31-33,Manufacturing,2007,0,459,166,30392,1502366,23302,48284,1122355,5652501,12294025,17925543,332371
3100000US30620,30620,"Lima, OH Metro Area",31-33,Manufacturing,2007,0,136,55,8661,475863,6807,13846,358490,5011521,5158162,10009041,265928
3100000US30700,30700,"Lincoln, NE Metro Area",31-33,Manufacturing,2007,2,272,97,14390,577387,10287,20722,356146,2190478,2337324,4541168,135130
3100000US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",31-33,Manufacturing,2007,1,615,175,24783,1033798,17551,36421,629757,4253638,4755013,8828220,201919
3100000US30860,30860,"Logan, UT-ID Metro Area",31-33,Manufacturing,2007,1,234,58,10810,420523,7846,15949,249233,1267947,2509033,3685261,D
3100000US30980,30980,"Longview, TX Metro Area",31-33,Manufacturing,2007,1,250,96,12506,522293,9600,20213,352516,1212924,3432716,4642778,172208
3100000US31020,31020,"Longview, WA Metro Area",31-33,Manufacturing,2007,0,128,49,7001,356697,5194,10206,236467,1173626,1775031,2914723,110336
3100000US31100,31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",31-33,Manufacturing,2007,1,20509,5632,628771,29161465,408348,809248,13939331,99893647,102956662,202475647,5081996
3100000US31140,31140,"Louisville-Jefferson County, KY-IN Metro Area",31-33,Manufacturing,2007,0,1400,581,75811,3457343,57594,112350,2415175,12952254,21617637,34623829,683206
3100000US31180,31180,"Lubbock, TX Metro Area",31-33,Manufacturing,2007,1,258,67,i,204450,D,8419,D,D,D,D,D
3100000US31340,31340,"Lynchburg, VA Metro Area",31-33,Manufacturing,2007,1,302,98,18731,897983,12778,26651,521267,3769010,2242649,5973939,134956
3100000US31420,31420,"Macon, GA Metro Area",31-33,Manufacturing,2007,0,187,48,6403,266191,4922,10499,181745,940465,913051,1838236,65226
3100000US31460,31460,"Madera, CA Metro Area",31-33,Manufacturing,2007,1,116,42,4143,170256,3249,6687,117842,668742,734347,1452945,36593
3100000US31540,31540,"Madison, WI Metro Area",31-33,Manufacturing,2007,1,727,258,33367,1525550,21863,43046,802927,4324982,4847232,9107721,406627
3100000US31700,31700,"Manchester-Nashua, NH Metro Area",31-33,Manufacturing,2007,1,633,237,31243,1944428,17436,35925,653655,4002522,3912311,7707601,278042
3100000US31900,31900,"Mansfield, OH Metro Area",31-33,Manufacturing,2007,0,192,79,11080,555286,8526,16902,389615,1569928,2007145,3563738,78521
3100000US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",31-33,Manufacturing,2007,2,276,65,6007,183510,4601,9353,119428,663223,843211,1503200,38800
3100000US32780,32780,"Medford, OR Metro Area",31-33,Manufacturing,2007,3,324,68,6115,228819,4605,8911,157964,997898,1033057,2037469,41732
3100000US32820,32820,"Memphis, TN-MS-AR Metro Area",31-33,Manufacturing,2007,0,1017,364,43692,1988558,29364,61925,1136774,8185524,14444500,22469567,406631
3100000US32900,32900,"Merced, CA Metro Area",31-33,Manufacturing,2007,3,122,47,9208,348608,7660,15654,256626,1626418,2368585,3954248,156840
3100000US33100,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",31-33,Manufacturing,2007,2,5041,820,83698,3370058,55161,108051,1696448,12129710,8563634,20748540,648324
3100000US33140,33140,"Michigan City-La Porte, IN Metro Area",31-33,Manufacturing,2007,1,184,83,8808,363883,6475,13708,222653,1166830,1197785,2364020,88824
3100000US33260,33260,"Midland, TX Metro Area",31-33,Manufacturing,2007,2,140,26,2366,95218,1665,3331,60457,339748,212304,533829,25575
3100000US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",31-33,Manufacturing,2007,1,2740,1069,130675,6590507,86868,174523,3412865,21498844,19961815,41284158,1108718
3100000US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",31-33,Manufacturing,2007,1,4997,1650,200650,10419993,123659,246779,5011939,31999118,31043859,63158157,2003119
3100000US33540,33540,"Missoula, MT Metro Area",31-33,Manufacturing,2007,1,112,22,2159,93778,1622,3322,65676,303628,368942,674892,14350
3100000US33660,33660,"Mobile, AL Metro Area",31-33,Manufacturing,2007,1,385,126,16776,840921,11758,24188,536892,5285078,7323881,12407151,302404
3100000US33700,33700,"Modesto, CA Metro Area",31-33,Manufacturing,2007,0,443,170,24127,1032864,17536,36199,609716,4722537,4922827,9475984,229905
3100000US33740,33740,"Monroe, LA Metro Area",31-33,Manufacturing,2007,1,146,53,6927,D,D,11281,D,D,D,D,D
3100000US33780,33780,"Monroe, MI Metro Area",31-33,Manufacturing,2007,0,143,60,8555,440553,6572,13355,309491,D,D,3502955,105834
3100000US33860,33860,"Montgomery, AL Metro Area",31-33,Manufacturing,2007,0,318,120,18749,D,13811,29368,D,D,D,D,D
3100000US34060,34060,"Morgantown, WV Metro Area",31-33,Manufacturing,2007,0,98,26,3918,173747,2523,4751,91428,D,D,1480910,65098
3100000US34100,34100,"Morristown, TN Metro Area",31-33,Manufacturing,2007,1,194,92,16517,566398,11304,23907,351431,1711678,2554213,4248242,165596
3100000US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",31-33,Manufacturing,2007,0,205,56,6387,294534,5238,10555,212713,D,D,8918220,94227
3100000US34620,34620,"Muncie, IN Metro Area",31-33,Manufacturing,2007,1,150,59,5268,232717,4149,8383,160538,552798,729829,1280555,54579
3100000US34740,34740,"Muskegon-Norton Shores, MI Metro Area",31-33,Manufacturing,2007,1,290,106,13271,609073,9542,19804,377965,1991895,1688613,3675844,131763
3100000US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",31-33,Manufacturing,2007,0,168,35,4103,166767,2565,5621,83306,505446,384642,894847,31859
3100000US34900,34900,"Napa, CA Metro Area",31-33,Manufacturing,2007,1,436,148,13165,632437,6629,12915,256345,2842403,1797484,4529328,298025
3100000US34940,34940,"Naples-Marco Island, FL Metro Area",31-33,Manufacturing,2007,1,228,34,3035,109463,2172,4198,69145,344034,269555,606697,22923
3100000US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",31-33,Manufacturing,2007,0,1583,529,74547,3135732,54541,108593,2026291,D,D,D,907365
3100000US35300,35300,"New Haven-Milford, CT Metro Area",31-33,Manufacturing,2007,1,1289,414,40188,1976864,26408,52932,1002113,5086981,5436440,10493031,251025
3100000US35380,35380,"New Orleans-Metairie-Kenner, LA Metro Area",31-33,Manufacturing,2007,0,764,221,35267,1939124,24263,48248,1149966,D,D,D,2296525
3100000US35620,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",31-33,Manufacturing,2007,2,18482,4445,449307,21711471,288168,571991,10298542,80411100,64907661,144942472,3476049
3100000US35660,35660,"Niles-Benton Harbor, MI Metro Area",31-33,Manufacturing,2007,2,332,111,10831,474710,7848,15957,282934,1132702,1164478,2298338,82472
3100000US35980,35980,"Norwich-New London, CT Metro Area",31-33,Manufacturing,2007,0,201,52,j,848758,D,13329,D,D,D,D,98567
3100000US36100,36100,"Ocala, FL Metro Area",31-33,Manufacturing,2007,2,221,73,8904,320890,6398,12740,190275,933426,911383,1841509,59656
3100000US36140,36140,"Ocean City, NJ Metro Area",31-33,Manufacturing,2007,2,81,8,662,18874,D,794,10912,D,D,D,2890
3100000US36220,36220,"Odessa, TX Metro Area",31-33,Manufacturing,2007,1,240,63,4814,221952,3504,7007,140797,907767,1149558,2049699,88386
3100000US36260,36260,"Ogden-Clearfield, UT Metro Area",31-33,Manufacturing,2007,0,529,162,22140,909751,15851,31723,D,3655874,5491657,9104335,274021
3100000US36420,36420,"Oklahoma City, OK Metro Area",31-33,Manufacturing,2007,1,1138,291,32649,1278946,22941,47153,763302,4769278,5481674,10180977,247447
