GEO.id,GEO.id2,GEO.display-label,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025,T026,T027,T028,T029,T030,T031
Id,Id2,Geography,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,Sales and Gross Receipts Taxes - General Sales and Gross Receipts Taxes,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Alcoholic Beverages Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Amusements Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Insurance Premiums Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Motor Fuels Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Pari-mutuels Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Public Utilities Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Tobacco Products Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Other Selective Sales and Gross Receipts Taxes,License Taxes,License Taxes - Alcoholic Beverages License,License Taxes - Amusements License,License Taxes - Corporations in General License,License Taxes - Hunting and Fishing License,License Taxes - Motor Vehicle License,License Taxes - Motor Vehicle Operators License,License Taxes - Public Utilities License,"License Taxes - Occupation and Business License, NEC",License Taxes - Other License Taxes,Income Taxes,Income Taxes - Individual Income Taxes,Income Taxes - Corporation Net Income Taxes,Other Taxes,Other Taxes - Death and Gift Taxes,Other Taxes - Documentary and Stock Transfer Taxes,Other Taxes - Severance Taxes,"Other Taxes - Taxes, NEC"
0100000US,,United States,796917528,13107189,381556649,249155625,132401024,5971042,6760869,16640811,40111264,135999,14700220,17194967,30885852,50111478,459139,641435,6767022,1484299,22859694,2599409,802326,13450764,1047390,322306097,280589983,41716114,29836115,4499843,5158015,17606979,2571278
0400000US01,01,Alabama,9049294,321530,4626357,2274658,2351699,173251,53,278242,541499,1841,736533,126151,494129,517676,4229,0,130843,20688,201875,21679,14367,123994,1,3430690,3017437,413253,153041,303,36271,116467,0
0400000US02,02,Alaska,7049398,215407,248432,X,248432,40230,7712,61684,40980,X,4114,67382,26330,135055,1864,1,0,27316,58196,0,604,38936,8138,663144,X,663144,5787360,0,X,5787360,0
0400000US04,04,Arizona,12996421,754428,8066124,6210756,1855368,68379,521,426497,896983,254,21339,319467,121928,393378,4918,0,10518,29258,169370,29898,16299,128759,4358,3741713,3093904,647809,40778,200,0,40578,0
0400000US05,05,Arkansas,8287744,1008707,3982832,2809416,1173416,48803,27640,156828,467055,3526,0,246976,222588,359012,4170,450,24690,21696,154095,17604,10015,125492,800,2805985,2401902,404083,131208,0,25750,82770,22688
0400000US06,06,California,115178568,2079878,41341188,31253629,10087559,346000,0,2416073,5544530,15838,766361,895677,103080,8658041,53169,15850,53003,98840,3529137,306882,289461,4293352,18347,62973435,55024435,7949000,126026,0,0,37112,88914
0400000US08,08,Colorado,10262977,X,4090645,2302333,1788312,38817,93223,197914,630573,595,11974,203399,611817,629101,6221,837,15690,67629,455744,30986,12349,38705,940,5367851,4875627,492224,175380,290,0,175090,0
0400000US09,09,Connecticut,15480865,X,6757964,3758881,2999083,60595,380376,205587,487104,6876,331015,418231,1109299,416396,8378,212,27947,4714,209109,43522,676,118782,3056,7996509,7371189,625320,309996,174554,130014,64,5364
0400000US10,10,Delaware,3280185,X,491044,X,491044,17654,0,91763,112908,96,59694,120850,88079,1230384,1465,402,790579,2736,49601,5470,0,374732,5399,1388392,1126014,262378,170365,12017,157025,X,1323
0400000US12,12,Florida,32997012,140,27267196,19403788,7863408,527016,157108,704760,2273685,9360,3162560,381485,647434,2205376,8268,12000,275849,15379,1305028,350141,27321,203720,7670,2003490,X,2003490,1520810,360,1470590,49860,0
0400000US13,13,Georgia,16715216,68951,7391867,5303524,2088343,175051,0,309193,1019300,0,0,227146,357653,505618,2357,785,44089,23840,308342,46986,0,73556,5663,8733047,8142371,590676,15733,28,15705,X,0
0400000US15,15,Hawaii,5516146,X,3581652,2697951,883701,48854,0,122401,93349,0,150528,121971,346598,258795,0,0,1539,465,206164,487,17810,31168,1162,1621002,1540746,80256,54697,14125,40572,X,0
0400000US16,16,Idaho,3374291,X,1664615,1224656,439959,8099,0,69722,236769,1269,2983,48461,72656,299443,1399,321,1963,33590,127813,11463,49085,69894,3915,1401924,1213335,188589,8309,0,0,8309,0
0400000US17,17,Illinois,36257762,65106,14295688,8034466,6261222,279270,546819,369117,1290266,7212,1750459,606422,1411657,2602296,11845,74255,321319,41177,1620595,104581,17936,390975,19613,19006849,15512310,3494539,287823,234864,52959,X,0
0400000US18,18,Indiana,16289491,6336,9925550,6631954,3293596,44155,829177,207419,814818,3075,224659,465200,705093,619464,12216,8098,7113,17733,222255,228468,0,43865,79716,5559975,4765467,794508,178166,175954,0,2212,0
0400000US19,19,Iowa,7932494,X,3632917,2523266,1109651,14727,294886,101406,440161,4054,0,225499,28918,751627,14210,19239,34710,29286,520946,8062,11711,111672,1791,3455485,3029709,425776,92465,79670,12795,X,0
0400000US20,20,Kansas,7418341,74413,3685595,2825880,859715,118202,389,166405,435049,0,317,103639,35714,315411,4530,16,21180,24258,184515,21500,4581,52267,2564,3209321,2891743,317578,133601,694,0,132907,0
0400000US21,21,Kentucky,10619106,529567,5147889,3052236,2095653,118253,164,133070,790229,3601,64919,276544,708873,463793,5917,272,99585,26595,188714,15738,0,122373,4599,4087239,3512075,575164,390618,41313,3255,346050,0
0400000US22,22,Louisiana,8994053,50937,4888854,2815919,2072935,56869,671080,357043,575063,5037,12796,133194,261853,402212,0,0,105495,28948,132032,12160,8989,110325,4263,2764995,2474606,290389,887055,1073,0,885982,0
0400000US23,23,Maine,3777130,38360,1748815,1064342,684473,17352,28640,108605,242124,2379,28548,139729,117096,252404,4827,701,8541,15904,99135,10660,0,104561,8075,1674044,1441926,232118,63507,44865,18642,X,0
0400000US24,24,Maryland,17094560,755937,7173515,4076578,3096937,31010,27504,428024,733410,1267,127106,411427,1337189,730878,1201,26,96412,15858,443956,26244,0,145252,1929,7996961,7116605,880356,437269,196875,127575,X,112819
0400000US25,25,Massachusetts,22820892,4441,7312892,5079105,2233787,77861,3082,342201,661974,1635,23925,573759,549350,899682,3003,436,25968,5921,376552,98899,0,258897,130006,13956618,11954838,2001780,647259,293269,186202,X,167788
0400000US26,26,Michigan,23919741,1911188,12654547,8933937,3720610,149629,115753,290385,951176,4985,27865,964748,1216069,1414986,16424,0,21662,48638,912032,55946,23773,160872,175639,7725070,6921033,804037,213950,241,150107,63602,0
0400000US27,27,Minnesota,20560540,807700,9139154,4942140,4197014,79389,42182,360794,849218,577,49,421545,2443260,1186734,2030,1130,7076,55638,631436,45095,137,373790,70402,9054106,7988084,1066022,372846,165983,160493,46370,0
0400000US28,28,Mississippi,6953365,23982,4396669,3072243,1324426,42183,152077,189373,417048,0,1894,157433,364418,517983,2918,11753,146255,15462,134477,40409,8826,91660,66223,1896946,1501267,395679,117785,12,0,116379,1394
0400000US29,29,Missouri,10801860,29217,4764940,3103410,1661530,34341,390779,270169,708997,0,0,104918,152326,563570,4965,1803,63338,32489,267641,17686,19495,134353,21800,5433367,5131686,301681,10766,162,4611,2,5991
0400000US30,30,Montana,2459324,257189,544733,X,544733,34019,53596,70779,211992,15,49740,87148,37444,315571,2030,4409,3222,44661,142901,8950,10,99751,9637,1032541,900180,132361,309290,1,0,305617,3672
0400000US31,31,Nebraska,4366617,78,2093773,1570450,523323,28472,3082,46482,299764,267,55658,67585,22013,183035,1405,777,26330,14459,123190,5216,0,11658,0,2072640,1838344,234296,17091,1017,10719,5355,0
0400000US32,32,Nevada,6775112,234522,5231962,3433958,1798004,41695,910839,237861,291400,0,22717,102644,190848,583829,0,95410,66708,9810,160840,22036,0,225292,3733,0,X,X,724799,0,52131,303038,369630
0400000US33,33,New Hampshire,2205045,380682,875037,X,875037,9723,431,73808,143794,483,83884,215161,347753,262399,4011,222,37582,10031,94063,12803,6980,96048,659,602866,81557,521309,84061,0,84061,X,0
0400000US34,34,New Jersey,27456175,5650,12009552,8099549,3910003,135304,239324,532307,539714,0,958425,792066,712863,1425441,3960,54319,214348,13238,605628,52663,7094,472006,2185,13057551,11128418,1929133,957981,641868,316113,X,0
0400000US35,35,New Mexico,5470982,81190,2766698,2032518,734180,44676,69557,147494,234986,851,30342,85493,120781,274975,0,392,21647,25827,177487,3701,130,45791,0,1403167,1126460,276707,944952,0,0,944952,0
0400000US36,36,New York,71545745,X,22869327,11904357,10964970,238932,769,1339033,1604727,22361,942585,1631995,5184568,1926804,59079,40,52469,56286,1418700,132129,20347,186278,1476,43339857,38771968,4567889,3409757,1078516,710877,X,1620364
0400000US37,37,North Carolina,22714557,X,9540442,5573658,3966784,322970,13855,479756,1861838,X,381934,294754,611677,1476017,16026,X,523265,17065,569253,123344,X,216751,10313,11603868,10383796,1220072,94230,58323,34345,1562,0
0400000US38,38,North Dakota,4146149,2398,1594529,1122783,471746,8463,6027,42819,204573,581,40289,28240,140754,187847,325,814,0,13301,105450,5071,6,62880,0,648149,432527,215622,1713226,1,0,1713225,0
0400000US39,39,Ohio,25928118,X,13124136,8277130,4847006,98113,19760,477982,1684209,7122,1051730,843180,664910,3580483,39735,120505,1681619,39096,714980,81026,25436,861301,16785,9146795,9029349,117446,76704,66522,X,10182,0
0400000US40,40,Oklahoma,8823958,X,3708940,2415964,1292976,103831,18946,228915,444636,1388,39353,292973,162934,1032981,920,148684,51032,22082,665123,15066,4,108721,21349,3220385,2774376,446009,861652,135,12570,848947,0
0400000US41,41,Oregon,8728095,15710,1398998,X,1398998,17322,48,100821,533420,1132,94132,255652,396471,934874,3577,2739,19425,46149,509049,29298,16397,301940,6300,6258923,5825797,433126,119590,101816,3655,14119,0
0400000US42,42,Pennsylvania,32949917,38452,17151633,9166842,7984791,324024,1499664,790781,2073677,14820,1336501,1118961,826363,2646493,16304,24206,656221,73710,837990,62348,66778,890117,18819,11939487,10102113,1837374,1173852,804731,342506,X,26615
0400000US44,44,Rhode Island,2868188,2095,1474547,848547,626000,12871,0,93319,80911,1587,101408,132132,203772,129209,63,119,4631,1666,64889,3980,0,47168,6693,1204828,1068466,136362,57509,42112,15397,X,0
0400000US45,45,South Carolina,8062639,8811,4174626,2926177,1248449,153951,38848,144072,531615,0,22045,26247,331671,488588,9086,1953,100686,18176,205110,9270,0,128758,15549,3349738,3096834,252904,40876,3,40873,X,0
0400000US46,46,South Dakota,1521928,X,1197567,838240,359327,15449,9200,67000,136431,634,3676,60372,66565,250572,811,7568,4213,29352,64710,3792,0,124647,15479,59837,X,59837,13952,0,193,13759,0
0400000US47,47,Tennessee,11380078,X,8383189,5933356,2449833,133055,0,639222,837787,0,9318,279017,551434,1391307,1320,166,736743,32592,262243,46494,6967,296144,8638,1297634,182251,1115383,307948,149344,136224,2450,19930
0400000US48,48,Texas,47991110,X,40976120,29002557,11973563,941461,29296,1442640,3178419,7142,768762,1463793,4142050,3207435,68642,19917,105633,102661,1971308,130838,18509,618514,171413,0,X,X,3807555,X,0,3807555,0
0400000US49,49,Utah,5809955,X,2722128,1857035,865093,45823,0,104443,372212,0,25824,123988,192803,255679,1936,0,547,28720,158169,14987,0,47700,3620,2725073,2466495,258578,107075,0,0,107075,0
0400000US50,50,Vermont,2731036,924451,968303,342085,626218,22403,0,59000,108177,0,13267,80230,343141,101161,391,35,2023,6502,64294,7963,0,18103,1850,695029,598450,96579,42092,13335,24298,X,4459
0400000US51,51,Virginia,18144897,34297,5860577,3487343,2373234,198107,81,390950,866243,0,150759,192441,574653,777187,12038,93,57209,27491,431651,60282,0,183905,4518,11054938,10216148,838790,417898,298,313052,1986,102562
0400000US53,53,Washington,17624715,1897095,14171443,10614137,3557306,349164,0,430052,1177987,1734,460025,470765,667579,994819,33912,6116,30083,41826,471016,69745,18862,253245,70014,0,X,X,561358,104592,420464,36302,0
0400000US54,54,West Virginia,5285773,6039,2559586,1277328,1282258,17204,78121,144786,387040,2337,155560,109618,387592,137670,1337,3745,4323,104,3261,104388,395,12994,7123,1948131,1755746,192385,634347,16,8128,626203,0
0400000US55,55,Wisconsin,15995335,155571,7008022,4288739,2719283,56278,260,165758,985001,0,388205,653275,470506,1077742,1707,619,18979,69824,463896,41295,80976,395278,5168,7696502,6762399,934103,57498,323,39843,5013,12319
0400000US56,56,Wyoming,2304628,316734,873840,747804,126036,1742,0,26056,66443,68,4443,25984,1300,140045,0,0,12720,35612,65733,2158,0,23822,0,0,X,X,974009,38,0,968525,5446
